iso_ts,monotonic_ns,gpu_active_pct,gpu_freq_mhz,gpu_power_mw,package_power_mw,gpu_temp_c,cpu_temp_c,thermal_pressure,fan0_rpm,fan1_rpm
2026-04-28T17:04:02.520411,16448917903583,,,,,,,,,
2026-04-28T17:04:03.531651,16449929242833,7.07,338,131,,,,Nominal,,
2026-04-28T17:04:04.541025,16450938727333,0.00,0,0,,,,Nominal,,
2026-04-28T17:04:05.552345,16451950169541,2.55,338,20,,,,Nominal,,
2026-04-28T17:04:06.562798,16452960746208,0.00,0,0,,,,Nominal,,
2026-04-28T17:04:07.568134,16453966170916,1.58,338,10,,,,Nominal,,
2026-04-28T17:04:08.573534,16454971675875,2.31,338,15,,,,Nominal,,
2026-04-28T17:04:09.582272,16455980520500,4.97,338,49,,,,Nominal,,
2026-04-28T17:04:10.589084,16456987432333,4.54,338,41,,,,Nominal,,
2026-04-28T17:04:11.595822,16457994242208,6.12,338,66,,,,Nominal,,
2026-04-28T17:04:12.602400,16459000899833,5.12,338,51,,,,Nominal,,
2026-04-28T17:04:13.609083,16460007650166,6.52,338,69,,,,Nominal,,
2026-04-28T17:04:14.616213,16461014854208,7.40,338,79,,,,Nominal,,
2026-04-28T17:04:15.622537,16462021239041,6.91,338,68,,,,Nominal,,
2026-04-28T17:04:16.627715,16463026470041,7.05,338,65,,,,Nominal,,
2026-04-28T17:04:17.634816,16464033640833,9.14,338,90,,,,Nominal,,
2026-04-28T17:04:18.644873,16465043747541,14.90,338,103,,,,Nominal,,
2026-04-28T17:04:19.651520,16466050443500,15.43,338,103,,,,Nominal,,
2026-04-28T17:04:20.657088,16467056053416,17.49,338,105,,,,Nominal,,
2026-04-28T17:04:21.665942,16468064946958,13.45,338,98,,,,Nominal,,
2026-04-28T17:04:22.672762,16469071814541,14.75,338,103,,,,Nominal,,
2026-04-28T17:04:23.678633,16470077717416,16.77,338,123,,,,Nominal,,
2026-04-28T17:04:24.683640,16471082757791,10.85,338,97,,,,Nominal,,
2026-04-28T17:04:25.690741,16472089895458,13.82,338,110,,,,Nominal,,
2026-04-28T17:04:26.697690,16473096884583,11.39,338,97,,,,Nominal,,
2026-04-28T17:04:27.704780,16474104002791,14.98,338,100,,,,Nominal,,
2026-04-28T17:04:28.711990,16475111240875,14.50,338,105,,,,Nominal,,
2026-04-28T17:04:29.718799,16476118072000,14.95,338,108,,,,Nominal,,
2026-04-28T17:04:30.724264,16477123553291,17.15,338,115,,,,Nominal,,
2026-04-28T17:04:31.729726,16478129038791,16.92,338,105,,,,Nominal,,
2026-04-28T17:04:32.739881,16479139227416,14.73,338,104,,,,Nominal,,
2026-04-28T17:04:33.747308,16480146671458,16.06,338,111,,,,Nominal,,
2026-04-28T17:04:34.754782,16481154167791,14.50,338,102,,,,Nominal,,
2026-04-28T17:04:35.764916,16482164316708,17.21,338,112,,,,Nominal,,
2026-04-28T17:04:36.771626,16483171038875,16.61,338,111,,,,Nominal,,
2026-04-28T17:04:37.776759,16484176177041,15.93,338,105,,,,Nominal,,
2026-04-28T17:04:38.782339,16485181774166,13.10,338,98,,,,Nominal,,
2026-04-28T17:04:39.789676,16486189134041,13.43,338,102,,,,Nominal,,
2026-04-28T17:04:40.797394,16487196867083,15.87,338,111,,,,Nominal,,
2026-04-28T17:04:41.804995,16488204484958,15.89,338,111,,,,Nominal,,
2026-04-28T17:04:42.814729,16489214224583,15.25,338,114,,,,Nominal,,
2026-04-28T17:04:43.821193,16490220687125,58.72,338,216,,,,Nominal,,
2026-04-28T17:04:44.826121,16491225621000,57.79,338,211,,,,Nominal,,
2026-04-28T17:04:45.836969,16492236493791,59.11,338,219,,,,Nominal,,
2026-04-28T17:04:46.846378,16493245908750,58.90,338,221,,,,Nominal,,
2026-04-28T17:04:47.853189,16494252718625,60.72,338,221,,,,Nominal,,
2026-04-28T17:04:48.860143,16495259680833,56.89,338,211,,,,Nominal,,
2026-04-28T17:04:49.867310,16496266854500,57.97,338,215,,,,Nominal,,
2026-04-28T17:04:50.871879,16497271425333,59.77,338,217,,,,Nominal,,
2026-04-28T17:04:51.877017,16498276569166,99.22,369,327,,,,Nominal,,
2026-04-28T17:04:52.884576,16499284146750,98.24,360,326,,,,Nominal,,
2026-04-28T17:04:53.892789,16500292362458,98.21,433,340,,,,Nominal,,
2026-04-28T17:04:54.900678,16501300251833,97.23,439,339,,,,Nominal,,
2026-04-28T17:04:55.911013,16502310592250,98.51,421,350,,,,Nominal,,
2026-04-28T17:04:56.920383,16503319965458,97.75,379,323,,,,Nominal,,
2026-04-28T17:04:57.925376,16504324955416,99.25,457,350,,,,Nominal,,
2026-04-28T17:04:58.930875,16505330457375,98.89,410,339,,,,Nominal,,
2026-04-28T17:04:59.938015,16506337607125,100.00,754,450,,,,Nominal,,
2026-04-28T17:05:00.946414,16507346008041,99.93,602,403,,,,Nominal,,
2026-04-28T17:05:01.955399,16508354996291,100.00,608,419,,,,Nominal,,
2026-04-28T17:05:02.963715,16509363314583,100.00,661,418,,,,Nominal,,
2026-04-28T17:05:03.969730,16510369337500,100.00,619,410,,,,Nominal,,
2026-04-28T17:05:04.973786,16511373382458,100.00,615,415,,,,Nominal,,
2026-04-28T17:05:05.980408,16512380011041,100.00,617,410,,,,Nominal,,
2026-04-28T17:05:06.985548,16513385150291,100.00,727,523,,,,Nominal,,
2026-04-28T17:05:07.991269,16514390874083,100.00,1578,1784,,,,Nominal,,
2026-04-28T17:05:08.996370,16515395975083,100.00,1578,1948,,,,Nominal,,
2026-04-28T17:05:10.001081,16516400688875,100.00,1578,2413,,,,Nominal,,
2026-04-28T17:05:11.006347,16517405955750,100.00,1578,2446,,,,Nominal,,
2026-04-28T17:05:12.011722,16518411332666,100.00,1578,2421,,,,Nominal,,
2026-04-28T17:05:13.016993,16519416604208,100.00,1578,2703,,,,Nominal,,
2026-04-28T17:05:14.029530,16520429170208,100.00,1578,2502,,,,Nominal,,
2026-04-28T17:05:15.040525,16521440163625,83.55,1568,2102,,,,Nominal,,
2026-04-28T17:05:16.050866,16522450492583,19.29,367,309,,,,Nominal,,
2026-04-28T17:05:17.057256,16523456881875,20.33,338,396,,,,Nominal,,
2026-04-28T17:05:18.062174,16524461789750,20.90,338,355,,,,Nominal,,
2026-04-28T17:05:19.073572,16525473195625,19.70,338,365,,,,Nominal,,
2026-04-28T17:05:20.084765,16526484408625,19.67,338,361,,,,Nominal,,
2026-04-28T17:05:21.095833,16527495485791,20.78,338,383,,,,Nominal,,
2026-04-28T17:05:22.109510,16528509154750,21.03,338,362,,,,Nominal,,
2026-04-28T17:05:23.120071,16529519712875,21.21,338,383,,,,Nominal,,
2026-04-28T17:05:24.125038,16530524656708,20.58,338,312,,,,Nominal,,
2026-04-28T17:05:25.139323,16531538967250,20.88,338,307,,,,Nominal,,
2026-04-28T17:05:26.148592,16532548217500,18.19,338,372,,,,Nominal,,
2026-04-28T17:05:27.162257,16533561921875,8.62,338,116,,,,Nominal,,
2026-04-28T17:05:28.177338,16534576989041,6.01,338,82,,,,Nominal,,
2026-04-28T17:05:29.189417,16535589063708,1.76,338,18,,,,Nominal,,
2026-04-28T17:05:30.201910,16536601554458,5.41,338,67,,,,Nominal,,
2026-04-28T17:05:31.212953,16537612596458,5.84,338,74,,,,Nominal,,
2026-04-28T17:05:32.223263,16538622905375,4.52,338,38,,,,Nominal,,
2026-04-28T17:05:33.234364,16539634006750,1.94,338,14,,,,Nominal,,
2026-04-28T17:05:34.245578,16540645217083,1.47,338,9,,,,Nominal,,
2026-04-28T17:05:35.256249,16541655888708,2.01,338,11,,,,Nominal,,
2026-04-28T17:05:36.262243,16542661864708,1.28,338,9,,,,Nominal,,
2026-04-28T17:05:37.223686,16543623385166,2.52,338,16,,,,Nominal,,
